Human	dog	mouse	rat	zebrafish
RNA5SP432	5S_rRNA	"n-R5s165,n-R5s166,n-R5s167,Gm23957"	5S_rRNA	NO_ORTHO
RAB3IL1	RAB3IL1	Rab3il1	Rab3il1	"rab3il1,rab3ip"
NAP1L1	"NAP1L1,LOC492050"	"Nap1l1,Gm4204"	"Nap1l1,RGD1560617"	"nap1l4a,nap1l1,nap1l4b"
NAP1L2	"NAP1L2,LOC492050"	Nap1l2	Nap1l2	NO_ORTHO
NAP1L3	"NAP1L3,LOC492050"	Nap1l3	Nap1l3	NO_ORTHO
NAP1L4	NAP1L4	Nap1l4	Nap1l4	"nap1l4a,nap1l4b"
NAP1L5	NAP1L5	Nap1l5	Nap1l5	NO_ORTHO
RNA5SP382	5S_rRNA	NO_ORTHO	5S_rRNA	NO_ORTHO
RNA5SP387	5S_rRNA	NO_ORTHO	5S_rRNA	NO_ORTHO
RNA5SP386	NO_ORTHO	"n-R5s213,n-R5s207,Gm23473"	5S_rRNA	NO_ORTHO
RNA5SP385	5S_rRNA	"n-R5s46,Gm22853"	NO_ORTHO	NO_ORTHO
PEAK1	PEAK1	Peak1	Peak1	peak1
RNA5SP389	5S_rRNA	n-R5s56	NO_ORTHO	NO_ORTHO
RNA5SP388	5S_rRNA	NO_ORTHO	NO_ORTHO	NO_ORTHO
RNU6-1085P	NO_ORTHO	Gm24704	U6	NO_ORTHO
IL1RAP	IL1RAP	Il1rap	Il1rap	"il1rapl1b,il1rapl1a,il1rapl2"
KIAA1143	KIAA1143	1110059G10Rik	RGD1311745	zgc:77056
KIAA1147	KIAA1147	E330009J07Rik	RGD1563986	si:ch211-238n5.4
KANK4	KANK4	Kank4	Kank4	"kank4,kank3"
KANK2	KANK2	Kank2	Kank2	kank2
KANK3	KANK3	Kank3	Kank3	kank3
KANK1	KANK1	Kank1	Kank1	"si:dkey-226m8.9,kank1"
CANX	"CLGN,CANX"	"Clgn,Canx"	"Clgn,Canx"	"clgn,canx"
UBR5	UBR5	Ubr5	Ubr5	ubr5
RNA5SP176	NO_ORTHO	"n-R5s207,Gm23473"	5S_rRNA	NO_ORTHO
ABHD8	ABHD8	Abhd8	Abhd8	"abhd8b,abhd8a"
MYLIP	MYLIP	Mylip	Mylip	"mylipa,mylipb"
ABHD2	ABHD2	Abhd2	Abhd2	"abhd2a,abhd2b"
ABHD3	ABHD3	Abhd3	Abhd3	abhd3
ABHD1	ABHD1	Abhd1	Abhd1	NO_ORTHO
ABHD6	ABHD6	Abhd6	Abhd6	"abhd6a,abhd6b"
ABHD4	ABHD4	Abhd4	Abhd4	"abhd5a,abhd5b,abhd4"
ABHD5	LOC485570	Abhd5	Abhd5	"abhd5a,abhd5b"
TWF1	"TWF1,TLR9"	"Twf1,Twf2"	"Twf1,Twf2"	"TWF1 (2 of 2),twf1a,twf1b,twf2a,twf2b,wdr82"
TWF2	"TWF1,TLR9"	"Twf1,Twf2"	"Twf1,Twf2"	"twf2a,twf2b,twf1b,wdr82"
TRIM43B	NO_ORTHO	"Trim43b,Trim43c"	Trim43a	btr32
RNU6-749P	NO_ORTHO	Gm22148	NO_ORTHO	NO_ORTHO
BCL2L2-PABPN1	"PABPN1,BCL2L2"	"Pabpn1,Gm20521,Bcl2l2"	"Pabpn1,Bcl2l2"	pabpn1
USHBP1	USHBP1	Ushbp1	Ushbp1	ushbp1
SSU72	"SSU72,LOC608299"	Ssu72	Ssu72	ssu72
RNU6-1107P	U6	Gm25186	NO_ORTHO	NO_ORTHO
C5orf63	C11H5orf63	C330018D20Rik	LOC100174910	"si:dkey-184a18.5,im:7154516"
FAM47C	TRO	"Fam47c,4930402K13Rik,Txndc2,Smtnl1,4930480E11Rik"	"LOC102552474,Fam47a,LOC100909677"	zgc:158260
CCL3L3	CCL3	Ccl3	Ccl3	"ccl35.2,ccl35.1"
FAM47A	NO_ORTHO	"Fam47c,4930402K13Rik,4930480E11Rik"	"LOC102552474,Fam47a,LOC100909677"	zgc:158260
FAM47E	"DR1,FAM47E"	"Dr1,Fam47c,Fam47e"	"Dr1,Fam47a,Fam47e"	"dr1,zgc:158260"
GTF3A	GTF3A	Gtf3a	Gtf3a	"gtf3aa,gtf3ab"
BATF2	BATF2	Batf2	Batf2	si:dkey-172o19.2
BATF3	BATF3	Batf3	Batf3	batf3
RNU1-49P	U1	"Gm22706,Gm23230"	U1	NO_ORTHO
AGO1	"AGO4,AGO1,AGO3,AGO2"	"Ago4,Ago1,Ago3,Ago2"	"Ago4,Ago1,Ago3,Ago2"	"ago3b,ago1,LOC567622,ago4,ago2"
AGO3	"AGO4,AGO1,AGO3,AGO2"	"Ago4,Ago1,Ago3,Ago2"	"Ago4,Ago3,Ago2"	"ago3b,ago3a,LOC567622,ago4,ago1,ago2"
AGO2	"AGO4,AGO1,AGO3,AGO2"	"Ago4,Ago1,Ago3,Ago2"	"Ago4,Ago3,Ago2"	"ago3b,ago1,LOC567622,ago4,ago2"
FAM120B	FAM120B	Fam120b	Fam120b	fam120b
FAM120C	"FAM120C,FAM120A"	"Fam120c,Fam120a"	"FAM120C,Fam120a"	"fam120c,fam120a"
CTD-2192J16.17	"ZNF184,ZNF252,ZNF791,ZNF274"	"Zfp617,Zfp788,Zfp442,9830147E19Rik,Gm14399,Zfp709,Gm14420,Zfp345,Zfp619,Zfp873,Zfp433,Gm6710,Gm14295,Gm14326,Zfp74"	NO_ORTHO	NO_ORTHO
MAPK14	MAPK14	"Mapk14,Mapk11"	"Mapk14,Mapk11"	"mapk14a,mapk14b"
MAPK15	MAPK15	Mapk15	Mapk15	mapk15
RNU6ATAC38P	NO_ORTHO	NO_ORTHO	U6atac	NO_ORTHO
MAPK10	"MAPK8,MAPK10"	"Mapk8,Mapk10"	"Mapk8,Mapk10"	"mapk8b,mapk8a,mapk10"
MAPK11	MAPK11	Mapk11	Mapk11	"mapk14a,mapk11,mapk14b"
MAPK12	MAPK12	Mapk12	Mapk12	"mapk14a,zgc:171775,mapk12b,mapk12a,mapk13"
MAPK13	MAPK13	Mapk13	Mapk13	"zgc:171775,mapk12b,mapk12a,mapk13"
FZD1	"FZD1,FZD2,FZD7"	"Fzd1,Fzd2,Fzd7"	"Fzd1,Fzd2,Fzd7"	"fzd1,fzd2,fzd7a,fzd7b"
FZD2	"FZD1,FZD2,FZD7"	"Fzd1,Fzd2,Fzd7"	"Fzd1,Fzd2,Fzd7"	"fzd2,fzd7b"
FZD3	"FZD3,FZD6"	"Fzd3,Fzd6"	"Fzd3,Fzd6"	"fzd3a,fzd3b"
FZD4	FZD4	Fzd4	Fzd4	fzd4
FZD5	FZD5	"Fzd8,Fzd5"	"Fzd8,Fzd5"	"fzd8a,fzd8b,fzd5"
FZD6	"FZD3,FZD6"	Fzd6	Fzd6	"fzd3a,FZD6,fzd6"
FZD7	"FZD1,FZD2,FZD7"	"Fzd1,Fzd2,Fzd7"	"Fzd1,Fzd2,Fzd7"	"fzd2,fzd7a,fzd7b"
FZD8	"FZD8,FZD5"	"Fzd8,Fzd5"	"Fzd8,LOC100909849"	"fzd8a,fzd8b,fzd5"
HUS1	HUS1	Hus1	Hus1	zgc:162895
SNORD114-1	SNORD113	NO_ORTHO	NO_ORTHO	NO_ORTHO
CYP2B6	CYP2B6	"Cyp2b10,Cyp2b19,Cyp2b9,Cyp2b13,Cyp2b23"	"LOC103691092,AC142154.2,Cyp2b2,Cyp2b3,Cyp2b1,LOC100910127,Cyp2b12,Cyp2b15,Cyp2b21"	"si:zfos-411a11.2,cyp2j20,cyp2k21,cyp2aa9,cyp2aa8,cyp2ae1,cyp2aa3,cyp2aa2,cyp2k22,cyp2aa7,cyp2p10,cyp2n13,cyp2p6,cyp2p7,cyp2k6,cyp2k8,cyp2p8,cyp2p9,cyp2aa11,cyp2k20,cyp2v1,cyp2aa1,cyp2k17,cyp2k16,cyp2k19,cyp2k18,cyp2ad6,cyp2ad2,cyp2ad3,cyp2y3,cyp2k31,cyp2aa4"
SNORD114-6	SNORD113	Gm23347	NO_ORTHO	NO_ORTHO
SNORD114-5	SNORD113	NO_ORTHO	NO_ORTHO	NO_ORTHO
SNORD114-4	SNORD113	NO_ORTHO	NO_ORTHO	NO_ORTHO
C10orf71	C28H10orf71	3425401B19Rik	RGD1564899	"gb:bf158330,C10orf71,wu:fc13h05"
C10orf76	C28H10orf76	9130011E15Rik	"C1H10orf76,RGD1564887"	zgc:63733
RNU6-176P	U6	Gm24913	U6	NO_ORTHO
OR10W1	"LOC610022,OR10V1"	Olfr1490	"Olr373,Olr372"	NO_ORTHO
C8orf44-SGK3	"SGK3,SGK1"	"Sgk3,Sgk2,Sgk1"	"Sgk3,Sgk2,Sgk1"	"sgk2b,si:ch211-195b13.1,sgk3,sgk1"
ASH1L	ASH1L	Ash1l	Ash1l	ash1l
AMFR	AMFR	Amfr	Amfr	"amfr,amfrb"
USO1	USO1	Uso1	Uso1	uso1
PICK1	PICK1	Pick1	Pick1	pick1
MRTO4	MRTO4	"Mrto4,Mrto4-ps1,Mrto4-ps2"	Mrto4	mrto4
RNU6-189P	U6	"Gm23253,Gm26355,Gm26203"	U6	NO_ORTHO
LPXN	LPXN	Lpxn	Lpxn	si:rp71-15d4.1
NOTCH3	"NOTCH4,NOTCH1,NOTCH2,NOTCH3"	"Notch4,Notch1,Notch2,Notch3"	"Notch4,Notch1,Notch2,Notch3"	"notch1b,notch2,notch3"
IGHV2-26	NO_ORTHO	"Ighv8-11,Ighv8-12,Ighv8-13,Ighv8-2,Ighv8-6,Ighv8-4,Ighv8-5,Ighv8-8,Ighv8-9"	"Ighv8-2,AABR07065837.1,LOC100359978,LOC100364733"	"ighv9-4,ighv9-3,ighv9-2,ighv9-1,ighv1-3,ighv7-1,ighv1-1,ighv3-2,ighv5-3,ighv5-2,ighv5-1,ighv1-4,ighv5-7,ighv1-2,ighv5-5,ighv5-4,ighv13-2,ighv11-2,ighv11-1,ighv5-8,ighv8-2,ighv8-3,ighv8-1,ighv8-4"
TMIGD3	ADORA3	Tmigd3	NO_ORTHO	"si:ch211-233f11.5,LOC571410,LOC100330487"
ESCO2	ESCO2	Esco2	"Esco2,Esco2-ps2,Esco2-ps1"	esco2
ESCO1	ESCO1	Esco1	"Esco1,RGD1562794"	"esco2,esco1"
NUP43	NUP43	Nup43	Nup43	nup43
SCARNA22	SCARNA23	Gm22728	SCARNA23	NO_ORTHO
SCARNA23	SCARNA24	Gm23557	SCARNA24	NO_ORTHO
SCARNA20	SCARNA20	"Gm26215,Gm24682,Gm25492"	SCARNA20	NO_ORTHO
SCARNA21	SCARNA21	"Gm22442,Gm23386,Gm24644"	SCARNA21	NO_ORTHO
SHOX	SHOX	NO_ORTHO	NO_ORTHO	shox
ZNF654	ZNF654	Zfp654	Zfp654	znf654
DBX2	DBX2	Dbx2	Dbx2	"dbx2,DBX2"
DBX1	DBX1	Dbx1	Dbx1	"dbx1a,dbx1b"
TARBP2	TARBP2	Tarbp2	Tarbp2	tarbp2
TARBP1	TARBP1	Gm17296	"Gm17296,Tarbp1"	"si:dkey-85a20.4,tarbp1,TARBP1 (2 of 2)"
ZNF652	"ZBTB47,ZNF652"	"Zfp652,Zfp651"	"Zfp652,Zbtb47"	"zbtb47a,zbtb47b,znf652"
PPCS	PPCS	Ppcs	Ppcs	ppcs
PSPC1	PSPC1	Pspc1	Pspc1	"nono,sfpq,pspc1"
PPP2R4	PPP2R4	Ppp2r4	Ppp2r4	ppp2r4
LOC113230	LOC102153603	2210011C24Rik	RGD1310262	NO_ORTHO
RNU6-857P	U6	Gm25810	U6	NO_ORTHO
CSF3R	CSF3R	Csf3r	Csf3r	csf3r
UBE4B	UBE4B	Ube4b	Ube4b	ube4b
UBE4A	UBE4A	Ube4a	Ube4a	ube4a
PTGDR	PTGDR	Ptgdr	"Ptgdr,Ptgdrl"	ptger2b
PTGDS	PTGDS	Ptgds	Ptgds	"ptgdsb,zgc:153704,lcn15,ptgdsa,zgc:153154"
RNU6-971P	U6	Gm26065	U6	NO_ORTHO
TBC1D23	TBC1D23	Tbc1d23	Tbc1d23	tbc1d23
RNU1-3	NO_ORTHO	"Gm25682,Gm22456,Gm22866"	NO_ORTHO	NO_ORTHO
TBC1D21	TBC1D21	Tbc1d21	Tbc1d21	si:dkey-238d18.4
TBC1D20	TBC1D20	Tbc1d20	Tbc1d20	"tbc1d20,zgc:63863"
TBC1D26	"ZNF286A,LOC102154750"	Zfp286	Zfp286a	NO_ORTHO
RNU6-252P	U6	Gm23312	NO_ORTHO	NO_ORTHO
RNU1-2	U1	Gm22866	NO_ORTHO	NO_ORTHO
TBC1D28	LOC102154750	NO_ORTHO	NO_ORTHO	NO_ORTHO
RNU6-487P	U6	Gm22827	NO_ORTHO	NO_ORTHO
FUNDC2	FUNDC2	"Fundc2,1700034I23Rik,Gm10731"	"Fundc2,LOC365778,AABR07010170.1"	"fundc2,fundc1"
TBC1D2B	TBC1D2B	"Tbc1d2b,Tbc1d2"	"Tbc1d2b,Tbc1d2"	tbc1d2b
FUNDC1	LOC491842	Fundc1	Fundc1	"fundc2,fundc1"
ARPC4	ARPC4	Arpc4	Arpc4	"arpc4l,arpc4"
TYRO3	"AXL,TYRO3"	"Mertk,Axl,Tyro3"	"Mertk,Axl,Tyro3"	tyro3
ZNF382	ZNF382	Zfp382	Zfp382	NO_ORTHO
C1RL	C1RL	C1rl	C1rl	wu:fd46c06
ZNF823	NO_ORTHO	"Zfp617,Zfp799,Zfp811,Zfp963,Zfp866,Zfp964,AI987944,Zfp871,Zfp870,5430403G16Rik,Gm14443,Zfp868,Zfp869"	"Zfp799,Zfp964,Zfp866,Zfp870,LOC102546572,Zfp868,Zfp869"	NO_ORTHO
ZNF354B	"ZNF34,ZNF354A,ZNF354B"	"Zfp354b,Zfp354a"	"Zfp354b,Zfp354a,Znf354b"	ZNF354A
WDFY4	"WDFY4,WDFY3"	"Wdfy4,Wdfy3"	Wdfy4	"wdfy4,wdfy3"
WDFY3	"WDFY4,WDFY3"	"Wdfy4,Wdfy3"	Wdfy3	"wdfy4,wdfy3"
WDFY2	WDFY2	Wdfy2	Wdfy2	"wdfy2,wdfy1"
WDFY1	WDFY1	Wdfy1	Wdfy1	"wdfy2,wdfy1"
WDR83OS	WDR83OS	Wdr83os	Wdr83os	zgc:73111
ANKRD35	ANKRD35	Ankrd35	Ankrd35	"uacaa,tax1bp1a"
ANKRD36	"ANKRD26,LOC102153516"	"Gm15319,Gm21119,Gm20946,4930430A15Rik,4931423N10Rik,Ankrd26,Ankrd36,Gm9495,Poteg,Gm7697,4930467E23Rik,Gm1758"	NO_ORTHO	si:ch211-272n13.3
ANKRD37	ANKRD37	Ankrd37	Ankrd37	ankrd37
ANKRD31	ANKRD31	Ankrd31	Ankrd31	ankrd31
ANKRD33	ANKRD33	Ankrd33	Ankrd33	"ankrd33ab,ankrd33aa"
ANKRD39	ANKRD39	Ankrd39	Ankrd39	ankrd39
PRAME	PRAME	"Gm16427,Gm3286,Gm13102,Gm13101,Pramef17,Pramef12,Gm3147,Gm16429,AC125178.3,D5Ertd577e,Oog4,Gm13128,Oog2,Gm13125,C87414,Gm13023,Pramef8,LOC665290,BC061212,Gm15023,Gm13084,Gm13083,Prame,Gm16522,AC123873.1,Gm12800,Gm13089,Gm12794,BC080695,Gm5128,Gm3176,Gm13078,Gm10436,Gm13057,LOC620551,Pramef25,Gm13119,E330014E10Rik,AV320801,AC140365.1,Gm7682,AC126035.1,LOC545763,Gm10424,B020004J07Rik,AC140325.2,Pramef6,AC165294.2,Pramel6,Pramel7,Pramel4,Pramel5,Pramel3,Pramel1,Gm7942,AA792892"	"RGD1562423,LOC685907,Pramef17,Pramef12,Pramef5,Pramef6,RGD1559999,RGD1561212,Pramef8,LOC685782,Prame,RGD1561699,Pramel,LOC501901,LOC100912750,LOC100912836,Pramef25,RGD1565660,RGD1561226,LOC100912937,AABR07049408.1,LOC100909936,LOC100363333,Pramel6,RGD1306186,Pramel1,AABR07049401.1"	LOC569854
RP11-136C24.3	"ZNF169,ZNF713"	NO_ORTHO	NO_ORTHO	NO_ORTHO
MECR	"SORD,MECR,TP53I3"	"Sord,Mecr"	"Sord,Mecr,LOC100911895"	"sord,mecr,tp53i3,LOC101884755"
MIR99B	cfa-mir-99b	NO_ORTHO	Mir99b	NO_ORTHO
SLC27A5	SLC27A5	Slc27a5	Slc27a5	"slc27a2a,slc27a2b,zgc:101540,slc27a6,zgc:158482,LOC568883"
SLC27A4	"SLC27A4,SLC27A1"	"Slc27a4,Slc27a1"	"Slc27a4,Slc27a1"	"slc27a1a,slc27a4,slc27a1b"
SLC27A6	SLC27A6	Slc27a6	Slc27a6	"slc27a2a,slc27a2b,slc27a6,zgc:158482,LOC568883"
SLC27A1	"SLC27A4,SLC27A1"	"Slc27a4,Slc27a1"	"Slc27a4,Slc27a1"	"slc27a1a,slc27a4,slc27a1b"
SLC27A3	SLC27A3	Slc27a3	Slc27a3	"slc27a2a,slc27a2b,zgc:101540,slc27a6,zgc:158482,LOC568883"
SLC27A2	SLC27A2	"Slc27a6,Slc27a2"	Slc27a2	"slc27a2a,slc27a2b,zgc:101540,slc27a6,zgc:158482,LOC568883"
AK9	AK9	Ak9	RGD1560386	ak9
AK8	AK8	Ak8	Ak8	ak8
TBCK	TBCK	Tbck	Tbck	tbck
AK3	"AK3,LOC480491,LOC608853,LOC102157398,LOC100856042,LOC102152410"	Ak3	Ak3	ak3
AK2	AK2	Ak2	Ak2	ak2
AK1	AK1	Ak1	Ak1	ak1
TBCD	TBCD	Tbcd	Tbcd	tbcd
AK7	AK7	Ak7	Ak7	"ak7a,ak7b"
TBCB	TBCB	Tbcb	"LOC100911774,Tbcb"	tbcb
AK5	AK5	Ak5	Ak5	"ak5,ak5l"
AK4	AK4	Ak4	Ak4	ak4
ALOX5AP	ALOX5AP	Alox5ap	Alox5ap	alox5ap
HOXA10-HOXA9	HOXA9	Hoxa9	"LOC100909740,Hoxa9"	"hoxa9b,hoxd9a"
RAC1	"LOC475395,RAC2,RAC1"	"Rac2,Rac3,Rac1"	"Rac2,Rac3,Rac1"	"rac1l,rac3b,rac3a,si:ch211-1f22.1,rac1a,rac1b,rac2"
MME	"MME,MMEL1"	"Mme,Mmel1"	Mme	NO_ORTHO
MMD	MMD	Mmd	Mmd	"mmd2a,mmd,mmd2b"
U82695.5	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
SH2D3A	SH2D3A	NO_ORTHO	NO_ORTHO	"LOC100331568,sh2d3a"
SH2D3C	SH2D3C	Sh2d3c	Sh2d3c	"sh2d3ca,sh2d3cb"
PRR15L	PRR15L	Prr15l	Prr15l	"prr15la,prr15lb"
TMEM55A	"TMEM55A,TMEM55B"	"Tmem55a,Tmem55b"	"Tmem55a,Tmem55b"	"tmem55a,tmem55bb,tmem55ba"
TMEM55B	"TMEM55A,TMEM55B"	"Tmem55a,Tmem55b"	"Tmem55a,Tmem55b"	"tmem55a,tmem55bb,tmem55ba"
LIN9	LIN9	Lin9	Lin9	lin9
SLC24A4	"SLC24A4,SLC24A3"	"Slc24a4,Slc24a3"	"Slc24a4,Slc24a3"	"CABZ01071180.1,si:ch73-335m24.5,slc24a4b,slc24a4a,slc24a3"
MDC1	MDC1	"Rab11fip3,Mdc1"	Mdc1	im:7163673
SLC24A2	"SLC24A2,SLC24A1"	"Slc24a2,Slc24a1"	Slc24a2	"SLC24A2 (2 of 2),slc24a2,slc24a1"
AC023818.1	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
SLC24A1	"SLC24A2,SLC24A1"	"Slc24a2,Slc24a1"	"Slc24a2,Slc24a1"	slc24a1
PLEKHM1P	NO_ORTHO	Plekhm1	Plekhm1	NO_ORTHO
C3AR1	C3AR1	C3ar1	C3ar1	"c3ar1,LOC101885604"
ITLN2	NO_ORTHO	"Itln1,Gm9765"	Itln1	"intl2,zgc:153219,itln3,itln2,unm_sa1672,itln1,LOC564958"
ITLN1	NO_ORTHO	"Itln1,Gm9765"	Itln1	"intl2,zgc:153219,unm_sa1672,LOC799640,itln2,itln3,itln1,LOC565124,LOC564958"
UHMK1	UHMK1	Uhmk1	"RGD1561897,Uhmk1"	uhmk1
ZXDB	"ZXDB,ZXDC"	"Zxdb,Zxdc"	"Zxdb,Uroc1"	si:dkey-156n14.3
ZXDC	"ZXDB,ZXDC"	"Zxdb,Zxdc"	"Zxdc,Uroc1"	si:dkey-156n14.3
ZXDA	"ZXDB,ZXDC"	"Zxdb,Zxdc"	Uroc1	si:dkey-156n14.3
ANKRD36C	"ANKRD26,ANKRD7,LOC102153516,LOC102157036"	"Gm15319,Gm21119,Ankrd7,Gm20946,4930430A15Rik,4931423N10Rik,Ankrd26,Ankrd36,Gm9495,Poteg,Gm7697,4930467E23Rik,Gm1758"	"LOC691519,LOC100363368,LOC100359802,Ankrd26,RGD1565158,LOC685184,RGD1309783,Poteg,Potec,Potea"	si:ch211-272n13.3
ANKRD36B	LOC102153516	"Gm15319,Gm21119,Gm20946,4930430A15Rik,4931423N10Rik,Ankrd26,Ankrd36,Gm9495,Poteg,Gm7697,4930467E23Rik,Gm1758"	NO_ORTHO	si:ch211-272n13.3
RNASEK-C17orf49	C5H17orf49	0610010K14Rik	RGD1308134	"zgc:92664,zgc:103508"
EXOSC8	EXOSC8	Exosc8	"Exosc8,AC142180.1"	exosc8
EXOSC9	EXOSC9	Exosc9	Exosc9	exosc9
BCKDK	BCKDK	Bckdk	Bckdk	bckdk
EXOSC2	EXOSC2	Exosc2	Exosc2	exosc2
EXOSC3	EXOSC3	Exosc3	Exosc3	"exosc3,wu:fc33b09"
RNU6-803P	U6	"Gm25886,Gm25332,Gm24477"	U6	U6
EXOSC1	EXOSC1	Exosc1	Exosc1	exosc1
EXOSC6	EXOSC6	Exosc6	Exosc6	exosc6
EXOSC7	EXOSC7	Exosc7	Exosc7	exosc7
EXOSC4	EXOSC4	Exosc4	Exosc4	exosc4
EXOSC5	EXOSC5	Exosc5	Exosc5	exosc5
TULP2	"TULP2,TULP3,TUB,TULP1"	"Tulp2,Tulp3,Tub,Tulp1"	"Tulp2,Tulp3,Tub,Tulp1"	"tub,zmp:0000000711,tulp1b,si:dkey-220f10.4"
TULP3	"TULP2,TULP3,TUB,TULP1"	"Tulp2,Tulp3,Tub,Tulp1"	"Tulp2,Tulp3,Tub,Tulp1"	zmp:0000000711
TULP1	"TULP2,TULP3,TUB,TULP1"	"Tulp2,Tulp3,Tub,Tulp1"	"Tulp2,Tulp3,Tub,Tulp1"	"TULP1 (3 of 3),zmp:0000000711,tulp1a,tulp1b,si:dkey-220f10.4,tub"
TULP4	TULP4	Tulp4	Tulp4	"tulp4b,tulp4a"
DISC1	DISC1	Disc1	Disc1	disc1
INCENP	INCENP	Incenp	Incenp	incenp
SPACA1	SPACA1	Spaca1	Spaca1	NO_ORTHO
RNU6-1165P	U6	"Gm23545,Gm25814"	U6	NO_ORTHO
RNU6-539P	NO_ORTHO	Gm22645	NO_ORTHO	NO_ORTHO
PSMB11	"PSMB5,PSMB11,PSMB8"	"Psmb5,Psmb11,Psmb8"	"Psmb5,Psmb11,Psmb8"	"si:ch211-14a17.13,psmb5,psmb11b,psmb8a"
PSMB10	PSMB10	Psmb10	Psmb10	"psmb7,zgc:92791,psmb10"
PAOX	PAOX	Paox	Paox	"si:dkey-275b16.2,zgc:66484,si:dkey-7o6.3"
RNU6-1268P	NO_ORTHO	Gm22148	NO_ORTHO	NO_ORTHO
SKP2	SKP2	Skp2	Skp2	skp2
INS-IGF2	INS	"Ins1,Ins2"	"Ins1,Ins2"	"insb,ins"
SKP1	SKP1	Skp1a	Skp1	skp1
NOC2L	NOC2L	Noc2l	Noc2l	noc2l
CRYBG3	CRYBG3	Crybg3	Crybg3	NO_ORTHO
IFI16	IFI16	"Pydc4,AI607873,Gm4955,Ifi204,Ifi205,Pydc3,Ifi203,Pyhin1,BC094916,Mnda,Ifi202b,Mndal,Gm16340"	"Mnda,LOC102556096"	NO_ORTHO
RP11-162P23.2	ALDH2	Aldh2	Aldh2	"aldh2.2,CABZ01032488.1,aldh2.1"
MC5R	MC5R	Mc5r	Mc5r	"mc5rb,mc5ra"
MIR503	cfa-mir-503	NO_ORTHO	"Mir503,rno-mir-503-1"	NO_ORTHO
MIR502	cfa-mir-502	NO_ORTHO	Mir500	NO_ORTHO
RNU6-603P	U6	Gm26279	U6	NO_ORTHO
LRRFIP1	LRRFIP1	Lrrfip1	Lrrfip1	"lrrfip1b,lrrfip1a"
MIR505	cfa-mir-505	NO_ORTHO	NO_ORTHO	NO_ORTHO
MIR504	cfa-mir-504	NO_ORTHO	NO_ORTHO	NO_ORTHO
TFIP11	TFIP11	Tfip11	Tfip11	tfip11
LPAR2	LPAR2	Lpar2	Lpar2	"lpar2a,lpar2b"
LPAR3	LPAR3	Lpar3	Lpar3	"lpar2a,lpar3"
LPAR1	LPAR1	Lpar1	Lpar1	lpar1
LPAR6	LPAR6	Lpar6	Lpar6	"lpar6a,lpar6b"
LPAR4	LPAR4	Lpar4	Lpar4	lpar4
LPAR5	LPAR5	Lpar5	Lpar5	"lpar5a,lpar5b"
MAPKBP1	"WDR62,MAPKBP1"	"Wdr62,Mapkbp1"	Mapkbp1	mapkbp1
SPECC1	"SPECC1L,SPECC1"	"Specc1l,Specc1"	"Specc1l,Specc1"	"specc1la,specc1"
LIMS2	"LIMS2,LIMS1"	"Lims2,Lims1"	"Lims2,Lims1"	"lims2,lims1,zyx"
LIMS3	"LIMS2,LIMS1"	"Lims2,Lims1"	"Lims2,Lims1"	"lims2,lims1"
LIMS1	"LIMS2,LIMS1"	"Lims2,Lims1"	"Lims2,Lims1"	"lims2,lims1,zyx"
ST13P5	ST13	St13	St13	st13
SUN2	SUN2	Sun2	Sun2	si:dkey-92f12.2
SUN3	SUN3	Sun3	Sun3	zgc:152977
SUN1	SUN1	Sun1	Sun1	"sun1,zgc:152977"
SUN5	SUN5	Sun5	Sun5	NO_ORTHO
RNU6-321P	NO_ORTHO	NO_ORTHO	U6	NO_ORTHO
HIST1H3B	LOC488306	"Hist1h3a,Hist2h3b"	Hist3h3	si:dkey-108k21.24
HIST1H3C	LOC488263	Hist2h3c1	NO_ORTHO	"si:ch211-113a14.14,hist2h3ca1"
HIST1H3A	LOC608586	"Hist1h3h,Hist1h3i,Hist1h3d"	"Hist1h2ail1,LOC102549173"	"zgc:113984,hist2h3ca1"
HIST1H3F	NO_ORTHO	"Hist1h3h,Hist1h3i"	LOC682330	hist2h3ca1
HIST1H3G	LOC611519	"Hist1h3h,Hist2h3c2"	Hist2h3c2	"si:dkey-108k21.24,si:ch73-36p18.2"
HIST1H3D	"LOC488306,LOC488307,LOC100684574"	"Hist1h3a,Hist1h3g"	"Hist3h3,Hist1h2ail1"	"zgc:113984,hist2h3ca1,zgc:113983,h3f3b.1,si:dkey-261m9.16,h3f3d,h3f3c,si:ch1073-429i10.3,h3f3a,zgc:173552,hist2h3c,si:dkey-261m9.8"
HIST1H3E	LOC488306	"Hist1h3h,Hist1h3g"	Hist1h2ail1	"hist2h3c,hist2h3ca1"
HIST1H3J	"LOC488306,LOC488307,LOC483167,LOC488277"	"Hist1h3c,Hist1h3a,Hist2h3c1,Hist1h3g"	"Hist1h3b,Hist3h3,Hist1h3f,Hist1h2ail1"	"zgc:113984,zgc:113983,h3f3b.1,si:dkey-261m9.16,h3f3d,hist2h3c,si:ch1073-429i10.3,h3f3a,zgc:173552,h3f3c,si:dkey-108k21.24"
RBM14-RBM4	RBM4	"Gm21992,Rbm4"	Rbm4	"rbm4.3,rbm4.2,rbm4.1"
HIST1H3I	LOC488307	Hist1h3e	"Hist3h3,LOC684819"	"hist2h3ca1,LOC100000930"
